# AKL - this is stupid, but be aware that I had to search and replace || -> | | a few times to get IDL to pick up the blanks. Switch to python ASAP.
# "EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"
# pgc|Objname|Dist|e_D|Glon|Glat|SGL|SGB|Vhel|Vgsr|V_LS|SGX|SGY|SGZ|So|DM_T|eDM_T|DM_Q|DM_G|eDM_G|DM_N|GpID|NBG_ID
# %7s|%11s|%6.2f|%5s|%8.4f|%8.4f|%8.4f|%8.4f|%5d|%5d|%5d|%7.2f|%7.2f|%7.2f|%1d|%5.2f|%4.2f|%5.2f|%5.2f|%4.2f|%5.2f|%4d|%8s
# ---| |Mpc|Mpc|deg|deg|deg|deg|km/s|km/s|km/s|Mpc|Mpc|Mpc| |mag|mag|mag|mag|mag|mag| |
# "The Catalogue of Principal Galaxies (PGC) Number"|"Galaxy name"|Distance|"Uncertainty in distance"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Heliocentric velocity"|"Velocity in Galactic stndard of rest (RC3)"|"Local Sheet reference frame (2008, ApJ,676,184)"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Source: 1=CMDs/TRGB; 2=Quality Distances; 3=Cosmicflows-1 group distances; 4=Numerical Action kinematic model"|"Distance modulus from CMDs/TRGB catalog"|"Error in TRGB modulus"|"Distance modulus from Quality Distances catalog; 10% distance uncertainties"|"Distance modulus for group containing galaxy from Cosmicflows-1 catalog"|"Error in group modulus"|"Distance from velocity based on a Numerical Action model"|"Tully 3000 group identification number"|"Nearby Galaxies Catalog (1988) Group ID number"
41013|IC3391|16.80|0.8|270.4689|79.8069|96.9463|-1.1510|1697|1663|1633|-2.03|16.70|-0.34|3| | | |31.13|0.10| |1|"11 -1  1"
41018|IC3388|15.70|1.6|281.2061|74.7181|102.3004|-2.7740|1872|1819|1781|-3.34|15.33|-0.76|2| | |30.98| | | |1|"11 -1  1"
41020|UGC07599|4.70|0.23|147.1263|78.7918|78.9242|4.3152|280|310|310|0.90|4.60|0.35|1|28.36|0.10| | | | |212|"14 -7  7"
41024|NGC4450|16.80|0.8|273.9124|78.6422|98.2216|-1.5304|1955|1916|1885|-2.40|16.65|-0.45|3| | | |31.13|0.10| |1|"11 -1  1"
41043|NGC4444|37.00| |298.5276|19.4147|157.8191|-15.4358|2914|2728|2637|-33.01|13.46|-9.84|4| | | | | |32.84|470|"23  0  0"
41048|UGC07605|4.74|0.30|150.9996|80.1349|80.3927|3.9179|304|329|326|0.79|4.66|0.32|1|28.38|0.14| | | | |212|"14 -7  7"
41050|NGC4451|16.80|0.8|285.1221|71.3393|105.7350|-3.7495|863|799|755|-4.55|16.16|-1.10|3| | | |31.13|0.10| |1|"11 -1  1"
41060|NGC4452|16.80|0.8|282.7043|73.7292|103.3420|-3.0221|223|167|127|-3.88|16.35|-0.89|3| | | |31.13|0.10| |1|"11 -1  1"
41063|UGC07608|9.20|0.57|137.4130|73.2598|73.1636|6.0388|543|593|603|2.65|8.76|0.97|3| | | |29.82|0.13| |209|"14 -4  4"
41066|NGC4455|10.50|2.0|251.6414|83.2914|92.7524|0.1994|644|625|602|-0.50|10.51|0.04|3| | | |30.11|0.37| |204|"14  1  1"
41069|NGC4460|9.59|0.96|135.8125|71.6926|71.5774|6.4880|558|613|626|3.01|9.04|1.08|2| | |29.91| | | |209|"14 -4  4"
41083|NGC4454|30.00| |291.4357|60.4273|116.5508|-6.8221|2407|2308|2250|-13.28|26.58|-3.55|4| | | | | |32.38|63|"11 26 24"
41095|NGC4458|16.30|1.6|281.0938|75.1521|101.9342|-2.5386|684|633|595|-3.37|15.93|-0.72|2| | |31.07| | | |1|"11 -1  1"
41101|NGC4457|15.60|1.0|289.1324|65.8389|111.2311|-5.2809|881|799|748|-5.61|14.44|-1.43|3| | | |30.96|0.13| |2|"11  2  1"
41104|NGC4459|16.00|1.6|280.1079|75.8463|101.2312|-2.3160|1215|1166|1130|-3.11|15.68|-0.65|2| | |31.03| | | |1|"11 -1  1"
41109|UGC07612|17.60|0.9|289.5894|65.0131|112.0524|-5.5035|1571|1486|1434|-6.58|16.26|-1.69|3| | | |31.23|0.11| |4|"11 -4  1"
41111|NGC4461|16.80|0.8|281.2520|75.1050|101.9962|-2.5341|1925|1874|1836|-3.49|16.44|-0.74|3| | | |31.13|0.10| |1|"11 -1  1"
41148|NGC4464|15.80|1.6|286.5049|70.3208|106.8420|-3.9025|1265|1198|1153|-4.56|15.06|-1.07|2| | |31.00| | | |1|"11 -1  1"
41150|NGC4462|23.00| |296.3563|39.4233|137.4607|-11.8537|1792|1639|1559|-16.67|15.30|-4.75|4| | | | | |31.82|415|"22  0  1"
41156|VCC1185|16.90|1.7|282.4680|74.4398|102.7231|-2.6656|500|446|408|-3.72|16.47|-0.79|2| | |31.14| | | |1|"11 -1  1"
41164|NGC4469|16.80|0.8|286.1251|70.9012|106.2797|-3.7075|498|433|388|-4.71|16.12|-1.09|3| | | |31.13|0.10| |1|"11 -1  1"
41166|IC3414|16.80|0.8|287.5732|68.9851|108.1837|-4.2645|538|466|419|-5.24|15.94|-1.25|3| | | |31.13|0.10| |1|"11 -1  1"
41169|NGC4467|16.80|0.8|286.7332|70.1718|107.0098|-3.9134|1426|1358|1313|-4.91|16.05|-1.15|3| | | |31.13|0.10| |1|"11 -1  1"
41170|NGC4466|26.90|3.7|286.9523|69.8848|107.2953|-3.9966|757|688|643|-7.98|25.64|-1.88|3| | | |32.15|0.28| |15|"11  0  1"
41171|NGC4468|15.90|1.6|280.4849|75.9564|101.1998|-2.1761|895|847|810|-3.08|15.54|-0.60|2| | |31.00| | | |1|"11 -1  1"
41189|NGC4470|16.80|0.8|286.9450|70.0160|107.1809|-3.9315|2340|2272|2226|-4.96|16.04|-1.15|3| | | |31.13|0.10| |1|"11 -1  1"
41220|NGC4472|16.80|1.7|286.9222|70.1960|107.0220|-3.8460|997|929|884|-4.89|15.98|-1.12|2| | |31.17| | | |1|"11 -1  1"
41228|NGC4473|15.30|1.5|281.6176|75.3988|101.8147|-2.2851|2236|2186|2149|-3.12|14.94|-0.61|2| | |30.92| | | |1|"11 -1  1"
41239|UGC07639|9.20|0.57|133.1976|69.1655|69.0411|7.3889|384|449|465|3.27|8.52|1.18|3| | | |29.82|0.13| |209|"14 -4  4"
41241|NGC4474|15.50|1.5|280.8112|76.0066|101.2075|-2.0828|1624|1576|1540|-3.01|15.18|-0.56|2| | |30.96| | | |1|"11 -1  1"
41255|NGC4476|17.60|1.8|283.0985|74.3884|102.8625|-2.5563|1970|1916|1878|-3.92|17.16|-0.79|2| | |31.23| | | |1|"11 -1  1"
41260|NGC4477|16.80|0.8|281.5442|75.6119|101.6317|-2.1740|1355|1306|1269|-3.39|16.47|-0.64|3| | | |31.13|0.10| |1|"11 -1  1"
41272|NGC4482|18.20|1.8|284.8972|72.9023|104.3808|-2.9620|1840|1781|1740|-4.51|17.60|-0.94|2| | |31.29| | | |1|"11 -1  1"
41297|NGC4478|17.10|1.7|283.3872|74.3915|102.9040|-2.4906|1356|1303|1264|-3.81|16.61|-0.74|2| | |31.15| | | |1|"11 -1  1"
41302|NGC4479|17.40|1.7|281.8715|75.5781|101.7070|-2.1281|858|809|772|-3.52|17.00|-0.65|2| | |31.20| | | |1|"11 -1  1"
41317|NGC4480|31.50|1.9|289.6673|66.5761|110.6814|-4.7422|2445|2366|2316|-11.08|29.35|-2.60|3| | | |32.49|0.13| |56|"11-24 24"
41326|NGC4485|9.20|0.57|137.9823|74.8112|74.7281|5.9380|492|538|545|2.41|8.83|0.95|3| | | |29.82|0.13| |209|"14 -4  4"
41327|NGC4486B|16.30|1.6|283.4120|74.5642|102.7652|-2.3875|1586|1533|1495|-3.60|15.88|-0.68|2| | |31.06| | | |1|"11 -1  1"
41333|NGC4490|9.20|0.57|137.9950|74.8698|74.7872|5.9370|565|611|618|2.40|8.83|0.95|3| | | |29.82|0.13| |209|"14 -4  4"
41339|NGC4483|16.80|1.7|286.8074|71.2346|106.1096|-3.3452|881|817|773|-4.64|16.06|-0.98|2| | |31.12| | | |1|"11 -1  1"
41360|PGC041360|16.80|0.8|284.1453|74.1596|103.2115|-2.4502|1250|1196|1157|-3.84|16.37|-0.72|3| | | |31.13|0.10| |1|"11 -1  1"
41361|NGC4486|16.70|1.7|283.7740|74.4910|102.8801|-2.3488|1307|1254|1215|-3.71|16.24|-0.68|2| | |31.18| | | |1|"11 -1  1"
41365|NGC4489|15.40|1.5|277.2232|78.5903|98.6989|-1.0809|960|922|889|-2.32|15.17|-0.29|2| | |30.94| | | |1|"11 -1  1"
41376|NGC4491|16.80|0.8|284.8470|73.6317|103.7601|-2.5775|497|441|401|-4.00|16.33|-0.76|3| | | |31.13|0.10| |1|"11 -1  1"
41377|NGC4486A|18.40|1.8|284.0317|74.3858|103.0061|-2.3502|105|52|13|-4.13|17.88|-0.75|2| | |31.31| | | |1|"11 -1  1"
41383|NGC4492|16.80|0.8|287.7319|70.3440|107.0329|-3.5354|1767|1700|1655|-4.92|16.06|-1.04|3| | | |31.13|0.10| |1|"11 -1  1"
41399|NGC4487|11.00|0.8|294.2353|54.4737|122.6469|-7.8931|1037|922|856|-5.86|9.15|-1.51|3| | | |30.20|0.16| |31|"11-14 10"
41435|IC3442|16.90|1.7|282.1182|76.1679|101.2637|-1.7341|1332|1285|1249|-3.30|16.57|-0.51|2| | |31.14| | | |1|"11 -1  1"
41440|IC3446|16.80|0.8|285.1992|73.6700|103.7816|-2.4734|1251|1195|1155|-4.00|16.33|-0.73|3| | | |31.13|0.10| |1|"11 -1  1"
41441|NGC4494|14.80|1.5|228.5963|85.3158|90.1002|1.6368|1350|1342|1324|-0.03|14.79|0.42|2| | |31.16| | | |200|"14 -1  1"
41466|IC3453|16.80|0.8|281.3415|76.8936|100.5705|-1.4528|2556|2512|2477|-3.09|16.54|-0.43|3| | | |31.13|0.10| |1|"11 -1  1"
41471|NGC4496A|14.90|1.5|290.5602|66.3349|111.0615|-4.5376|1730|1650|1600|-5.32|13.82|-1.18|2| | |30.86| | | |4|"11 -4  1"
41472|NGC4498|16.80|0.8|277.9138|78.7510|98.6637|-0.8736|1504|1466|1434|-2.53|16.63|-0.26|3| | | |31.13|0.10| |1|"11 -1  1"
41488|PGC041488|30.00| |293.2286|59.5310|117.7499|-6.3872|2240|2140|2080|-13.84|26.32|-3.33|4| | | | | |32.38|64|"11 26 24"
41503|ESO218-008|33.00| |299.8531|11.0069|166.6415|-15.8212|2632|2440|2348|-31.28|7.43|-9.11|4| | | | | |32.62|471|"23  0  0"
41504|IC0797|16.80|0.8|281.2282|77.1657|100.3367|-1.3112|2100|2057|2022|-3.02|16.55|-0.39|3| | | |31.13|0.10| |1|"11 -1  1"
41512|UGC07673|16.30|0.9|180.6899|85.0033|86.3623|2.8815|639|645|633|1.03|16.24|0.82|3| | | |31.06|0.12| |200|"14 -1  1"
41517|NGC4501|16.80|0.8|282.3294|76.5078|101.0163|-1.4956|2279|2233|2198|-3.21|16.51|-0.44|3| | | |31.13|0.10| |1|"11 -1  1"
41529|IC3461|16.80|1.7|285.3659|74.0967|103.4466|-2.2048|1001|947|908|-3.91|16.35|-0.65|2| | |31.12| | | |1|"11 -1  1"
41531|NGC4502|16.80|0.8|278.6850|78.6361|98.8486|-0.8300|1626|1588|1556|-2.59|16.62|-0.24|3| | | |31.13|0.10| |1|"11 -1  1"
41538|NGC4503|16.80|0.8|286.0993|73.4131|104.1352|-2.3946|1359|1303|1262|-4.11|16.30|-0.70|3| | | |31.13|0.10| |1|"11 -1  1"
41552|IC3468|15.40|1.5|287.0142|72.5272|105.0322|-2.6259|1372|1313|1271|-3.99|14.87|-0.71|2| | |30.93| | | |1|"11 -1  1"
41555|NGC4504|11.00|0.8|294.6398|54.9998|122.2468|-7.4758|999|886|821|-5.80|9.19|-1.43|3| | | |30.20|0.16| |31|"11-14 10"
41573|IC3470|16.10|1.6|286.2576|73.5148|104.0722|-2.3028|1500|1444|1404|-3.90|15.57|-0.65|2| | |31.04| | | |1|"11 -1  1"
41576|UGC07690|9.20|0.57|135.6413|73.9525|73.8517|6.5506|540|590|599|2.54|8.78|1.05|3| | | |29.82|0.13| |209|"14 -4  4"
41578|NGC4517A|17.60|0.9|292.4830|62.8768|114.5419|-5.3199|1532|1442|1387|-7.29|15.96|-1.63|3| | | |31.23|0.11| |4|"11  4  1"
41587|PGC041587|16.80|0.8|288.0988|71.4996|106.0895|-2.8552|1290|1228|1184|-4.66|16.15|-0.84|3| | | |31.13|0.10| |1|"11 -1  1"
41589|IC0798|16.10|1.6|281.4441|77.4924|100.1021|-1.0788|414|372|338|-2.82|15.82|-0.30|2| | |31.02| | | |1|"11 -1  1"
41599|IC3474|17.60|0.9|291.6965|65.1214|112.3599|-4.6627|1733|1650|1598|-6.68|16.24|-1.43|3| | | |31.23|0.11| |4|"11 -4  1"
41608|IC3476|16.80|0.8|283.5157|76.2107|101.4202|-1.4364|-172|-218|-255|-3.33|16.49|-0.42|3| | | |31.13|0.10| |1|"11 -1  1"
41618|NGC4437|11.10|1.2|292.7370|62.6165|114.8283|-5.3244|1120|1029|974|-4.65|10.05|-1.03|3| | | |30.23|0.23| |247|"14-18 18"
41620|UGC07699|9.20|0.57|142.2702|78.7970|78.7908|5.2492|503|536|537|1.78|8.99|0.84|3| | | |29.82|0.13| |209|"14 -4  4"
41636|UGC07698|4.85|0.24|164.2778|84.0193|84.6583|3.5900|335|348|339|0.45|4.82|0.30|1|28.43|0.10| | | | |212|"14 -7  7"
41639|UGC07697|42.50|5.0|270.4784|81.8582|95.5541|0.3556|2535|2509|2482|-4.11|42.26|0.26|3| | | |33.14|0.24| |198|"13  0  0"
41652|NGC4515|16.70|1.7|280.6092|78.3339|99.3236|-0.7147|951|912|879|-2.70|16.45|-0.21|2| | |31.10| | | |1|"11 -1  1"
41670|IC3483|16.80|0.8|286.8342|73.6459|104.0450|-2.0954|108|53|13|-4.08|16.31|-0.62|3| | | |31.13|0.10| |1|"11 -1  1"
41680|IC3487|16.20|1.6|288.4452|71.7549|105.9213|-2.6342|1085|1024|981|-4.44|15.58|-0.75|2| | | | | | |1|"11 -1  1"
41681|IC3490|18.20|1.8|287.2521|73.2436|104.4518|-2.1995|245|189|148|-4.54|17.61|-0.70|2| | | | | | |1|"11 -1  1"
41698|IC3492|16.80|0.8|285.5076|75.1093|102.6117|-1.6300|374|324|286|-3.67|16.41|-0.48|3| | | |31.13|0.10| |1|"11 -1  1"
41706|NGC4519A|16.80|0.8|289.0755|71.0760|106.6129|-2.7891|1434|1370|1327|-4.80|16.11|-0.82|3| | | |31.13|0.10| |1|"11 -1  1"
41719|NGC4519|16.80|0.8|289.1684|71.0454|106.6543|-2.7774|1221|1157|1113|-4.82|16.10|-0.82|3| | | |31.13|0.10| |1|"11 -1  1"
41723|VCC1512|18.30|1.8|287.2544|73.5876|104.1559|-2.0236|762|707|667|-4.47|17.71|-0.65|2| | |31.32| | | |1|"11 -1  1"
41725|PGC041725|14.10|1.1|294.6036|57.6984|119.7284|-6.4587|1297|1192|1130|-6.93|12.13|-1.58|3| | | |30.74|0.17| |33|"11 16 10"
41729|NGC4522|16.80|0.8|288.9357|71.5622|106.1651|-2.5935|2324|2262|2219|-4.68|16.15|-0.76|3| | | |31.13|0.10| |1|"11 -1  1"
41746|NGC4523|16.80|0.8|283.1170|77.3569|100.4242|-0.8614|262|220|185|-3.04|16.55|-0.25|3| | | |31.13|0.10| |1|"11 -1  1"
41754|IC3501|16.30|1.6|285.4907|75.5957|102.1986|-1.3729|1608|1560|1523|-3.44|15.92|-0.39|2| | |31.06| | | |1|"11 -1  1"
41755|NGC4525|16.30|0.9|172.6552|85.0221|85.9310|3.4311|1172|1181|1170|1.15|16.22|0.98|3| | | |31.06|0.12| |200|"14 -1  1"
41766|UGC07719|9.20|0.57|138.8428|77.5655|77.5035|5.8543|686|724|727|1.98|8.94|0.94|3| | | |29.82|0.13| |209|"14 -4  4"
41772|NGC4526|16.90|1.7|290.1594|70.1385|107.6102|-2.9163|603|537|491|-5.11|16.09|-0.86|2| | |31.14| | | |1|"11 -1  1"
41779|NGC4534|8.67|0.58|145.6548|80.8312|80.8938|4.9251|803|830|827|1.37|8.53|0.74|3| | | |29.69|0.14| |211|"14 -6  6"
41781|NGC4528|15.70|1.6|287.6449|73.6763|104.1353|-1.8838|1374|1319|1279|-3.83|15.22|-0.52|2| | |31.00| | | |1|"11 -1  1"
41782|VCC1539|17.00|1.7|286.3380|75.0523|102.7734|-1.4788|1390|1340|1302|-3.75|16.56|-0.44|2| | |31.14| | | |1|"11 -1  1"
41789|NGC4527|17.60|0.9|292.5919|65.1769|112.4728|-4.2994|1736|1654|1602|-6.72|16.24|-1.32|3| | | |31.23|0.11| |4|"11 -4  1"
41797|IC3509|16.80|1.7|287.0778|74.3874|103.4433|-1.6565|2050|1998|1959|-3.89|16.28|-0.48|2| | |31.13| | | |1|"11 -1  1"
41806|NGC4531|15.20|1.5|286.1347|75.3842|102.4636|-1.3486|107|58|21|-3.28|14.84|-0.36|2| | |30.91| | | |1|"11 -1  1"
41811|NGC4532|13.80|2.5|291.0257|68.9425|108.8136|-3.1957|2007|1937|1890|-4.44|13.05|-0.77|3| | | |30.70|0.36| |3|"11 -3  1"
41812|NGC4535|15.80|1.6|290.0716|70.6413|107.1511|-2.7079|1962|1897|1853|-4.65|15.06|-0.75|2| | |30.99| | | |1|"11 -1  1"
41823|NGC4536|14.90|1.5|292.9464|64.7308|112.9418|-4.3519|1808|1725|1672|-5.80|13.71|-1.13|2| | |30.87| | | |4|"11 -4  1"
41829|IC3517|16.80|0.8|289.5994|71.5863|106.2446|-2.3978|431|370|326|-4.70|16.14|-0.70|3| | | |31.13|0.10| |1|"11 -1  1"
41838|NGC4545|24.70|1.8|126.0913|53.4997|53.4243|11.7780|2737|2851|2892|14.39|19.39|5.03|3| | | |31.96|0.15| |761|"42  0 12"
41847|IC3521|16.80|0.8|290.8921|69.6387|108.1706|-2.9224|596|528|482|-5.24|15.97|-0.86|3| | | |31.13|0.10| |1|"11 -1  1"
41857|PGC041857|37.00| |289.8579|71.4509|106.4028|-2.3896|3074|3012|2969|-10.43|35.45|-1.54|4| | | | | |32.84|453|"23  0  3"
41859|PGC041859|36.00| |285.2909|76.5204|101.3928|-0.9165|2875|2830|2794|-7.07|35.10|-0.57|4| | | | | |32.77|480|"23  0  0"
41861|UGC07739|13.80|2.5|291.3979|68.7989|109.0024|-3.1403|2032|1962|1914|-4.49|13.03|-0.76|3| | | |30.70|0.36| |3|"11 -3  1"
41865|IC3522|16.80|0.8|284.0535|77.4771|100.4399|-0.6251|661|620|585|-3.05|16.55|-0.18|3| | | |31.13|0.10| |1|"11 -1  1"
41876|NGC4540|16.80|0.8|283.6834|77.7989|100.1289|-0.5108|1286|1246|1212|-2.96|16.56|-0.15|3| | | |31.13|0.10| |1|"11 -1  1"
41934|NGC4548|16.20|1.6|285.6927|76.8296|101.1815|-0.6726|485|441|406|-3.14|15.91|-0.19|2| | |31.24| | | |1|"11 -1  1"
41939|NGC4546|14.10|1.4|295.2273|58.8398|118.7944|-5.7186|1050|949|889|-6.74|12.26|-1.40|2| | |30.74| | | |33|"11 16 10"
41943|NGC4550|15.40|1.5|288.0938|74.6320|103.3693|-1.2988|381|330|291|-3.55|14.93|-0.35|2| | |30.95| | | |1|"11 -1  1"
41947|UGC07767|27.80|2.8|124.4685|43.4061|43.2053|13.7018|1331|1471|1526|19.69|18.49|6.58|2| | |32.22| | | |763|"42-13 13"
41955|NGC4562|16.30|0.9|231.8544|86.2279|90.2950|2.5594|1392|1387|1369|-0.08|16.28|0.73|3| | | |31.06|0.12| |200|"14 -1  1"
41958|NGC4544|11.10|1.2|293.3258|65.6106|112.2070|-3.8398|1154|1074|1022|-4.19|10.27|-0.74|3| | | |30.23|0.23| |247|"14-18 18"
41959|VCC1627|15.60|1.6|288.0507|74.7949|103.2224|-1.2275|236|186|147|-3.56|15.14|-0.33|2| | |30.97| | | |1|"11 -1  1"
41963|NGC4551|16.20|1.6|288.1691|74.6806|103.3371|-1.2573|1172|1121|1083|-3.74|15.78|-0.36|2| | |31.04| | | |1|"11 -1  1"
41965|PGC041965|11.00|0.8|296.1319|54.7861|122.7672|-6.7579|993|881|816|-5.89|9.16|-1.29|3| | | |30.20|0.16| |31|"11-14 10"
41968|NGC4552|16.00|1.6|287.9339|74.9666|103.0584|-1.1681|322|272|234|-3.61|15.58|-0.33|2| | |31.00| | | |1|"11 -1  1"
42002|NGC4559|8.67|0.58|198.4185|86.4703|88.2895|3.2290|814|816|801|0.26|8.65|0.49|3| | | |29.69|0.14| |211|"14 -6  6"
42020|NGC4561|16.00| |277.9049|81.4409|96.5985|0.8499|1402|1375|1347|-1.85|16.03|0.24|4| | | | | |31.04|16|"11  0  1"
42021|IC3562|16.80|0.8|290.3966|72.4219|105.6216|-1.7884|2051|1993|1951|-4.53|16.20|-0.53|3| | | |31.13|0.10| |1|"11 -1  1"
42038|NGC4565|12.00|0.6|230.7601|86.4379|90.2107|2.7641|1227|1222|1205|-0.04|12.01|0.58|1|30.40|0.10| | | | |206|"14  2  1"
42045|UGC07774|9.20|0.57|135.5976|76.7512|76.6689|6.5573|526|569|573|2.11|8.90|1.05|3| | | |29.82|0.13| |209|"14 -4  4"
42046|VCC1661|15.90|1.6|290.2828|72.8863|105.1943|-1.6029|1400|1344|1302|-4.15|15.29|-0.44|2| | |31.00| | | |1|"11 -1  1"
42051|NGC4564|15.90|1.6|289.5606|73.9199|104.1851|-1.2985|1142|1089|1049|-3.90|15.43|-0.36|2| | |31.00| | | |1|"11 -1  1"
42064|NGC4567|16.80|0.8|289.7780|73.7481|104.3650|-1.3267|2268|2214|2174|-4.17|16.30|-0.39|3| | | |31.13|0.10| |1|"11 -1  1"
42069|NGC4568|16.80|0.8|289.8149|73.7307|104.3852|-1.3258|2255|2201|2161|-4.18|16.29|-0.39|3| | | |31.13|0.10| |1|"11 -1  1"
42074|IC3576|16.80|0.8|292.5283|69.1925|108.8259|-2.6037|1076|1008|961|-5.42|15.91|-0.76|3| | | |31.13|0.10| |1|"11 -1  1"
42081|IC3583|16.80|0.8|288.2798|75.7105|102.4568|-0.7218|1125|1078|1041|-3.63|16.43|-0.21|3| | | |31.13|0.10| |1|"11 -1  1"
42089|NGC4569|16.80|0.8|288.4713|75.6227|102.5566|-0.7239|-312|-359|-396|-3.66|16.42|-0.21|3| | | |31.13|0.10| |1|"11 -1  1"
42096|NGC4570|17.10|1.7|292.4228|69.8205|108.2427|-2.3665|1750|1684|1638|-5.36|16.26|-0.71|2| | |31.16| | | |1|"11 -1  1"
42099|IC3586|16.50|1.6|289.1106|75.0006|103.1787|-0.8859|1547|1498|1460|-3.77|16.08|-0.26|2| | |31.09| | | |1|"11 -1  1"
42100|NGC4571|14.90|1.5|287.5367|76.6537|101.5516|-0.4028|341|297|262|-2.99|14.63|-0.10|2| | |30.87| | | |1|"11 -1  1"
42108|IC3591|16.80|0.8|292.6791|69.5106|108.5611|-2.4193|1633|1566|1520|-5.35|15.94|-0.71|3| | | |31.13|0.10| |1|"11 -1  1"
42123|ESO442-013|22.70|4.7|299.1520|34.2743|143.1546|-11.2319|1518|1358|1274|-17.82|13.35|-4.42|3| | | |31.78|0.41| |413|"22  1  1"
42134|UGCA290|6.61|0.66|136.2626|78.0179|77.9436|6.4116|455|494|497|1.37|6.42|0.74|2| | |29.10| | | |209|"14 -4  4"
42139|NGC4589|22.00|2.2|124.2347|42.9010|42.6999|13.9097|1980|2122|2177|15.68|14.47|5.28|2| | |31.71| | | |763|"42-13 13"
42149|NGC4578|16.40|1.6|291.6810|72.1219|106.0666|-1.5760|2284|2225|2183|-4.53|15.72|-0.45|2| | |31.06| | | |1|"11 -1  1"
42160|PGC042160|16.80|0.8|292.3621|71.1479|107.0364|-1.8105|1070|1008|964|-4.93|16.08|-0.53|3| | | |31.13|0.10| |1|"11 -1  1"
42166|NGC4574|41.90|6.2|299.7929|27.2705|150.2167|-12.4950|2952|2780|2692|-35.49|20.31|-9.06|3| | | |33.11|0.30| |457|"23  0  5"
42168|NGC4579|16.80|0.8|290.4027|74.3558|103.9084|-0.8905|1518|1467|1428|-4.04|16.33|-0.26|3| | | |31.13|0.10| |1|"11 -1  1"
42174|NGC4580|16.00| |293.8420|67.9993|110.1114|-2.6694|1033|961|913|-5.54|15.14|-0.75|4| | | | | |31.04|17|"11  0  1"
42181|NGC4575|34.20|2.5|300.1436|22.2610|155.2935|-13.3388|2977|2798|2708|-30.23|13.91|-7.89|3| | | |32.67|0.15| |456|"23  0  5"
42205|IC3602|17.60|1.8|291.8609|72.6671|105.6017|-1.2858|1279|1223|1181|-4.74|16.97|-0.40|2| | |31.23| | | |1|"11 -1  1"
42224|ESO322-038|31.30|3.1|300.2936|21.3011|156.2877|-13.4110|3165|2985|2895|-27.90|12.26|-7.27|2| | |32.48| | | |441|"23 -1  1"
42229|ESO380-050|41.90|6.2|299.9391|27.1797|150.3390|-12.3906|2931|2759|2671|-35.54|20.24|-8.99|3| | | |33.11|0.30| |457|"23  0  5"
42241|NGC4586|15.60|1.0|294.6423|66.9820|111.1671|-2.7992|798|723|674|-5.61|14.49|-0.76|3| | | |30.96|0.13| |2|"11  2  1"
42271|ESO322-042|32.40|1.8|300.4093|20.5953|157.0204|-13.4554|3956|3775|3685|-28.97|12.29|-7.53|3| | | |32.55|0.12| |441|"23 -1  1"
42275|UGCA292|3.84|0.33|148.2836|83.7207|83.8101|5.0968|312|331|325|0.41|3.80|0.34|1|27.92|0.18| | | | |212|"14 -7  7"
42309|IC3612|14.70|1.5|289.2433|77.2731|101.2033|0.2378|1247|1206|1171|-2.86|14.44|0.06|2| | | | | | |1|"11 -1  1"
42319|NGC4591|31.50|1.9|294.5403|68.6844|109.5887|-2.1565|2425|2356|2309|-10.54|29.64|-1.18|3| | | |32.49|0.13| |56|"11-24 24"
42336|NGC4592|11.10|1.2|296.4246|62.1865|115.8990|-3.9233|1079|990|934|-4.84|9.98|-0.76|3| | | |30.23|0.23| |247|"14-18 18"
42348|IC3617|16.80|0.8|293.9233|70.6256|107.7258|-1.5671|2086|2023|1979|-5.12|16.02|-0.46|3| | | |31.13|0.10| |1|"11 -1  1"
42369|NGC4603A|32.40|1.8|300.5166|22.0768|155.5553|-13.0417|3775|3597|3507|-28.70|13.05|-7.30|3| | | |32.55|0.12| |441|"23 -1  1"
42375|NGC4593|37.30|5.3|297.4828|57.4029|120.5731|-5.1293|2491|2388|2326|-18.91|32.01|-3.34|3| | | |32.86|0.29| |67|"11-29 29"
42396|NGC4595|16.80|0.8|289.5376|77.8675|100.7118|0.5782|630|592|558|-3.13|16.53|0.17|3| | | |31.13|0.10| |1|"11 -1  1"
42401|NGC4596|16.80|0.8|293.3018|72.8319|105.6370|-0.8292|1870|1815|1773|-4.53|16.20|-0.24|3| | | |31.13|0.10| |1|"11 -1  1"
42407|NGC4594|9.77|0.98|298.4600|51.1495|126.6905|-6.6803|1090|970|901|-5.80|7.78|-1.14|2| | |29.95| | | |31|"11-14 10"
42408|NGC4605|5.52|0.28|125.3322|55.4659|55.4690|12.0167|143|253|292|3.06|4.45|1.15|1|28.71|0.10| | | | |261|"14  0  0"
